customerID,gender,SeniorCitizen,Partner,Dependents,tenure,tenure_group,Contract,PaperlessBilling,PaymentMethod,InternetService,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,TotalCharges,revenue_segment,early_churn_flag,risk_profile,Churn,churn_flag
7590-VHVEG,Female,No,true,false,1,0-11 Months,Month-to-month,true,Electronic check,DSL,No,No,No,29.85,29.85,Low Value,No,Normal,false,0
5575-GNVDE,Male,No,false,false,34,25-48 Months,One year,false,Mailed check,DSL,No,No,No,56.95,1889.5,Mid Value,No,Normal,false,0
3668-QPYBK,Male,No,false,false,2,0-11 Months,Month-to-month,true,Mailed check,DSL,No,No,No,53.85,108.15,Mid Value,Early Churn,Normal,true,1
7795-CFOCW,Male,No,false,false,45,25-48 Months,One year,false,Bank transfer (automatic),DSL,Yes,No,No,42.3,1840.75,Mid Value,No,Normal,false,0
9237-HQITU,Female,No,false,false,2,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,No,70.7,151.65,Mid Value,Early Churn,High Risk,true,1
9305-CDSKC,Female,No,false,false,8,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,Yes,99.65,820.5,High Value,No,High Risk,true,1
1452-KIOVK,Male,No,false,true,22,12-24 Months,Month-to-month,true,Credit card (automatic),Fiber optic,No,Yes,No,89.1,1949.4,High Value,No,Normal,false,0
6713-OKOMC,Female,No,false,false,10,0-11 Months,Month-to-month,false,Mailed check,DSL,No,No,No,29.75,301.9,Low Value,No,Normal,false,0
7892-POOKP,Female,No,true,false,28,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,Yes,Yes,Yes,104.8,3046.05,High Value,No,Normal,true,1
6388-TABGU,Male,No,false,true,62,49+ Months,One year,false,Bank transfer (automatic),DSL,No,No,No,56.15,3487.95,Mid Value,No,Normal,false,0
9763-GRSKD,Male,No,true,true,13,12-24 Months,Month-to-month,true,Mailed check,DSL,No,No,No,49.95,587.45,Mid Value,No,Normal,false,0
7469-LKBCI,Male,No,false,false,16,12-24 Months,Two year,false,Credit card (automatic),No,No internet service,No internet service,No internet service,18.95,326.8,Low Value,No,Normal,false,0
8091-TTVAX,Male,No,true,false,58,49+ Months,One year,false,Credit card (automatic),Fiber optic,No,Yes,Yes,100.35,5681.1,High Value,No,Normal,false,0
0280-XJGEX,Male,No,false,false,49,49+ Months,Month-to-month,true,Bank transfer (automatic),Fiber optic,No,Yes,Yes,103.7,5036.3,High Value,No,Normal,true,1
5129-JLPIS,Male,No,false,false,25,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,Yes,Yes,Yes,105.5,2686.05,High Value,No,Normal,false,0
3655-SNQYZ,Female,No,true,true,69,49+ Months,Two year,false,Credit card (automatic),Fiber optic,Yes,Yes,Yes,113.25,7895.15,High Value,No,Normal,false,0
8191-XWSZG,Female,No,false,false,52,49+ Months,One year,false,Mailed check,No,No internet service,No internet service,No internet service,20.65,1022.95,Low Value,No,Normal,false,0
9959-WOFKT,Male,No,false,true,71,49+ Months,Two year,false,Bank transfer (automatic),Fiber optic,No,Yes,Yes,106.7,7382.25,High Value,No,Normal,false,0
4190-MFLUW,Female,No,true,true,10,0-11 Months,Month-to-month,false,Credit card (automatic),DSL,Yes,No,No,55.2,528.35,Mid Value,No,Normal,true,1
4183-MYFRB,Female,No,false,false,21,12-24 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,Yes,90.05,1862.9,High Value,No,Normal,false,0
8779-QRDMV,Male,Yes,false,false,1,0-11 Months,Month-to-month,true,Electronic check,DSL,No,No,Yes,39.65,39.65,Mid Value,Early Churn,Normal,true,1
1680-VDCWW,Male,No,true,false,12,12-24 Months,One year,false,Bank transfer (automatic),No,No internet service,No internet service,No internet service,19.8,202.25,Low Value,No,Normal,false,0
1066-JKSGK,Male,No,false,false,1,0-11 Months,Month-to-month,false,Mailed check,No,No internet service,No internet service,No internet service,20.15,20.15,Low Value,Early Churn,Normal,true,1
3638-WEABW,Female,No,true,false,58,49+ Months,Two year,true,Credit card (automatic),DSL,Yes,No,No,59.9,3505.1,Mid Value,No,Normal,false,0
6322-HRPFA,Male,No,true,true,49,49+ Months,Month-to-month,false,Credit card (automatic),DSL,Yes,No,No,59.6,2970.3,Mid Value,No,Normal,false,0
6865-JZNKO,Female,No,false,false,30,25-48 Months,Month-to-month,true,Bank transfer (automatic),DSL,No,No,No,55.3,1530.6,Mid Value,No,Normal,false,0
6467-CHFZW,Male,No,true,true,47,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,Yes,99.35,4749.15,High Value,No,Normal,true,1
8665-UTDHZ,Male,No,true,true,1,0-11 Months,Month-to-month,false,Electronic check,DSL,No,No,No,30.2,30.2,Low Value,Early Churn,Normal,true,1
5248-YGIJN,Male,No,true,false,72,49+ Months,Two year,true,Credit card (automatic),DSL,Yes,Yes,Yes,90.25,6369.45,High Value,No,Normal,false,0
8773-HHUOZ,Female,No,false,true,17,12-24 Months,Month-to-month,true,Mailed check,DSL,No,Yes,Yes,64.7,1093.1,Mid Value,No,Normal,true,1
3841-NFECX,Female,Yes,true,false,71,49+ Months,Two year,true,Credit card (automatic),Fiber optic,Yes,No,No,96.35,6766.95,High Value,No,Normal,false,0
4929-XIHVW,Male,Yes,true,false,2,0-11 Months,Month-to-month,true,Credit card (automatic),Fiber optic,No,Yes,Yes,95.5,181.65,High Value,No,High Risk,false,0
6827-IEAUQ,Female,No,true,true,27,25-48 Months,One year,false,Mailed check,DSL,Yes,No,No,66.15,1874.45,Mid Value,No,Normal,false,0
7310-EGVHZ,Male,No,false,false,1,0-11 Months,Month-to-month,false,Bank transfer (automatic),No,No internet service,No internet service,No internet service,20.2,20.2,Low Value,No,Normal,false,0
3413-BMNZE,Male,Yes,false,false,1,0-11 Months,Month-to-month,false,Bank transfer (automatic),DSL,No,No,No,45.25,45.25,Mid Value,No,Normal,false,0
6234-RAAPL,Female,No,true,true,72,49+ Months,Two year,false,Bank transfer (automatic),Fiber optic,Yes,Yes,No,99.9,7251.7,High Value,No,Normal,false,0
6047-YHPVI,Male,No,false,false,5,0-11 Months,Month-to-month,true,Electronic check,Fiber optic,No,No,No,69.7,316.9,Mid Value,Early Churn,Normal,true,1
6572-ADKRS,Female,No,false,false,46,25-48 Months,Month-to-month,true,Credit card (automatic),Fiber optic,No,No,No,74.8,3548.3,Mid Value,No,Normal,false,0
5380-WJKOV,Male,No,false,false,34,25-48 Months,Month-to-month,true,Electronic check,Fiber optic,No,Yes,Yes,106.35,3549.25,High Value,No,Normal,true,1
